Code,Minor Category,Topic
1.01,Mathematics,Algebraic Topology Breakthroughs
1.01,Mathematics,Stochastic Models in Finance
1.01,Mathematics,Graph Theory for Social Networks
1.01,Mathematics,Numerical Methods for PDEs
1.01,Mathematics,Optimization in Machine Learning
1.01,Mathematics,Mathematical Cryptography Trends
1.01,Mathematics,Fractal Geometry Applications
1.01,Mathematics,Mathematics of Climate Modeling
1.01,Mathematics,Combinatorial Designs in Coding
1.01,Mathematics,Quantum Computing Algorithms
1.02,Computer and Information Sciences,Edge AI Architecture Design
1.02,Computer and Information Sciences,Blockchain Security Protocols
1.02,Computer and Information Sciences,Quantum Machine Learning
1.02,Computer and Information Sciences,Big Data Stream Processing
1.02,Computer and Information Sciences,Natural Language Understanding
1.02,Computer and Information Sciences,Explainable AI Frameworks
1.02,Computer and Information Sciences,Autonomous Systems Software
1.02,Computer and Information Sciences,Cloud-Native Microservices
1.02,Computer and Information Sciences,Cyber-Physical System Safety
1.02,Computer and Information Sciences,Computing Ethics & Governance
1.03,Physical Sciences,Dark Matter Detection Methods
1.03,Physical Sciences,Topological Insulators Research
1.03,Physical Sciences,Gravitational Wave Astronomy
1.03,Physical Sciences,Plasma Physics in Fusion Reactors
1.03,Physical Sciences,Photonics for Quantum Networks
1.03,Physical Sciences,High-Energy Particle Colliders
1.03,Physical Sciences,Condensed-Matter Superconductivity
1.03,Physical Sciences,Neutrino Oscillation Experiments
1.03,Physical Sciences,Astrophysical Fluid Dynamics
1.03,Physical Sciences,Precision Metrology Advances
1.04,Chemical Sciences,Green Catalysis for CO₂ Reduction
1.04,Chemical Sciences,Organic Electronics Materials
1.04,Chemical Sciences,Single-Atom Catalysts Study
1.04,Chemical Sciences,Polymer Upcycling Techniques
1.04,Chemical Sciences,Computational Drug Design
1.04,Chemical Sciences,Photochemistry in Solar Fuels
1.04,Chemical Sciences,Nanoporous Materials Synthesis
1.04,Chemical Sciences,Chiral Chemistry Applications
1.04,Chemical Sciences,Electrochemical Energy Storage
1.04,Chemical Sciences,In-situ Spectroscopy Methods
1.05,Earth and Related Environmental Sciences,Climate Change Attribution Science
1.05,Earth and Related Environmental Sciences,Earthquake Early Warning Systems
1.05,Earth and Related Environmental Sciences,Permafrost Carbon Feedbacks
1.05,Earth and Related Environmental Sciences,Ocean Acidification Monitoring
1.05,Earth and Related Environmental Sciences,Satellite Remote Sensing Advances
1.05,Earth and Related Environmental Sciences,Urban Air Quality Modeling
1.05,Earth and Related Environmental Sciences,Geo-thermal Energy Exploration
1.05,Earth and Related Environmental Sciences,Cryosphere Dynamics Research
1.05,Earth and Related Environmental Sciences,Paleo-climate Proxy Records
1.05,Earth and Related Environmental Sciences,Hydro-meteorological Hazards
1.06,Biological Sciences,CRISPR Gene Editing Ethics
1.06,Biological Sciences,Microbiome-Host Interactions
1.06,Biological Sciences,Synthetic Biology Circuits
1.06,Biological Sciences,Single-Cell Omics Technologies
1.06,Biological Sciences,Neurogenomics of Behavior
1.06,Biological Sciences,Plant Stress Physiology
1.06,Biological Sciences,Evolutionary Developmental Biology
1.06,Biological Sciences,Bioinformatics for Rare Diseases
1.06,Biological Sciences,Protein Folding Simulations
1.06,Biological Sciences,Epigenetic Regulation Mechanisms
1.07,Other Natural Sciences,Mathematical Physics Interfaces
1.07,Other Natural Sciences,Astrobiology Life Detection
1.07,Other Natural Sciences,Complex Systems & Chaos Theory
1.07,Other Natural Sciences,Science of Science Metrics
1.07,Other Natural Sciences,Computational Astrophysics Codes
1.07,Other Natural Sciences,Geodesy for Space Navigation
